ID,Year,Month,Region,Exp Vol YTD (0000 parcels),Exp Revenue YTD (RMB '0000),Exp Vol (0000 parcels),Exp Revenue (RMB '0000)
2013/04,2013,4,Tianjin,2386.1,51037,688.1,14144.8
2013/04,2013,4,Tibet,107.2,3771.6,37,944.2
2013/04,2013,4,Xinjiang,1482.4,21982.5,401.2,5521.2
2013/04,2013,4,Yunnan,1827,32470.4,546.6,7846.7
2013/04,2013,4,Zhejiang,32620.3,453310.7,9468.9,130974.8
2013/05,2013,5,Anhui,4672.1,68227.3,1075.2,15033.3
2013/05,2013,5,Beijing,31423.8,367993.7,6726.6,76047
2013/05,2013,5,Chongqing Province,3523.7,48739.8,717.2,10101
2013/05,2013,5,Fujian,15194.9,227799.2,3706.9,51876.4
2013/05,2013,5,Gansu,608.2,14577.2,145.1,3308.4
2013/05,2013,5,Guangdong,69426.8,1175124.9,17132.4,281678.3
2013/05,2013,5,Guangxi,2401.9,40854.6,575.9,9270.9
2013/05,2013,5,Guizhou,1123.5,21127.4,231.1,4446.6
2013/05,2013,5,Hainan,743.8,10893.5,224.7,2264.6
2013/05,2013,5,Hebei,6961.2,102049.6,1650,23764.2
2013/05,2013,5,Heilongjiang,2139.9,36457.6,519.7,8726.7
2013/05,2013,5,Henan,6639,95241.7,1653.5,23253.7
2013/05,2013,5,Hubei,8486.2,107571.9,1785.2,23358.1
2013/05,2013,5,Hunan,5417.1,72206.9,1343.9,16949.5
2013/05,2013,5,Inner Mongolia,1088.2,26098,229.4,5423.1
2013/05,2013,5,Jiangsu,32797.9,496782.7,7579.8,115562.1
2013/05,2013,5,Jiangxi,3088.3,45141.6,767.9,10411.7
2013/05,2013,5,Jilin Province,1685.7,32066.5,358.5,6802.6
2013/05,2013,5,Liaoning,4062.3,82197.4,925.6,18738
2013/05,2013,5,Ningxia,357.7,11506.2,87.8,1674.7
2013/05,2013,5,Qinghai,144.1,4072,33.7,864.7
2013/05,2013,5,Shaanxi,3453.5,76675.3,736.7,38837.1
2013/05,2013,5,Shandong,10932.5,207041.3,2553.2,46305.6
2013/05,2013,5,Shanghai,32982.9,894272.6,7777.4,205667.2
2013/05,2013,5,Shanxi,3683.2,24781.3,915.2,5598.2
2013/05,2013,5,Sichuan,7442.1,109792,1766.9,23232.3
2013/05,2013,5,Tianjin,3093.9,66112.1,707.8,15075.1
2013/05,2013,5,Tibet,134,4974.2,26.8,1202.6
2013/05,2013,5,Xinjiang,1874.4,27885.2,392,5902.7
2013/05,2013,5,Yunnan,2432.9,41299.4,605.9,8829
2013/05,2013,5,Zhejiang,43847,601145.8,11226.7,147835.1
2013/06,2013,6,Anhui,5709.9,83329.8,1037.8,15102.5
2013/06,2013,6,Beijing,37954.8,441741.8,6531,73748.1
2013/06,2013,6,Chongqing Province,4267.9,59621.8,744.2,10882
2013/06,2013,6,Fujian,18485.6,274343,3290.7,46543.8
2013/06,2013,6,Gansu,750.6,18227.5,142.4,3650.3
2013/06,2013,6,Guangdong,86353.9,1451636.6,16927.1,276511.7
2013/06,2013,6,Guangxi,2976.7,49998.7,574.8,9144.1
2013/06,2013,6,Guizhou,1349.5,25415.3,226,4287.9
2013/06,2013,6,Hainan,947.5,13096.6,203.7,2203.1
2013/06,2013,6,Hebei,8553,124776.2,1591.8,22726.6
2013/06,2013,6,Heilongjiang,2508.4,44262.6,368.5,7805
2013/06,2013,6,Henan,8123,117179.7,1484,21938
2013/06,2013,6,Hubei,10078.2,129810.8,1592,22238.9
2013/06,2013,6,Hunan,6606.5,87296.1,1189.4,15089.2
2013/06,2013,6,Inner Mongolia,1311.9,30969.3,223.7,4871.3
2013/06,2013,6,Jiangsu,40340.2,612947,7542.3,116164.3
2013/06,2013,6,Jiangxi,3926,55024,837.7,9882.4
2013/06,2013,6,Jilin Province,2029.4,38570.5,343.7,6504
2013/06,2013,6,Liaoning,4976,100512,913.7,18314.6
2013/06,2013,6,Ningxia,431.7,13054.2,74,1548
2013/06,2013,6,Qinghai,177.5,5170.8,33.4,1098.8
2013/06,2013,6,Shaanxi,4246.8,60845.2,793.3,-15830.1
2013/06,2013,6,Shandong,13422.3,253331.3,2489.8,46290
2013/06,2013,6,Shanghai,40502.4,1131728.3,7519.5,237455.7
2013/06,2013,6,Shanxi,4580,30117.6,896.8,5336.3
2013/06,2013,6,Sichuan,9416.8,134415.3,1974.7,24623.3
2013/06,2013,6,Tianjin,3657.7,77184.8,563.8,11072.7
2013/06,2013,6,Tibet,161.8,6168.2,27.8,1194
2013/06,2013,6,Xinjiang,2241.4,33908.1,367,6022.9
2013/06,2013,6,Yunnan,3034.6,49521.4,601.7,8222
2013/06,2013,6,Zhejiang,54894.8,743965.9,11047.8,142820.1
2013/07,2013,7,Anhui,6794.9,99054.3,1085,15724.5
2013/07,2013,7,Beijing,44524.8,497140.6,6570,55398.8
2013/07,2013,7,Chongqing Province,5218.3,71474.8,950.4,11853
2013/07,2013,7,Fujian,22092.5,324805.1,3606.9,50462.1
2013/07,2013,7,Gansu,898.5,21554,147.9,3326.5
2013/07,2013,7,Guangdong,103764.1,1738234.5,17410.2,286597.9
2013/07,2013,7,Guangxi,3586.7,60153.1,610,10154.4
2013/07,2013,7,Guizhou,1610.4,30319.5,260.9,4904.2
2013/07,2013,7,Hainan,1131,15314.2,183.5,2217.6
2013/07,2013,7,Hebei,10489,149106.1,1936,24329.9
2013/07,2013,7,Heilongjiang,2923.5,52425.2,415.1,8162.6
2013/07,2013,7,Henan,9649.4,138769.3,1526.4,21589.6
2013/07,2013,7,Hubei,11651.2,151787.2,1573,21976.4
2013/07,2013,7,Hunan,7716.2,102011.2,1109.7,14715.1
2013/07,2013,7,Inner Mongolia,1532.6,36111.1,220.7,5141.8
2013/07,2013,7,Jiangsu,48063.5,731902.4,7723.3,118955.4
2013/07,2013,7,Jiangxi,4627.5,65006.3,701.5,9982.3
2013/07,2013,7,Jilin Province,2392.3,46362.5,362.9,7792
2013/07,2013,7,Liaoning,5913.8,120510.2,937.8,19998.2
2013/07,2013,7,Ningxia,502.4,14661.6,70.7,1607.4
2013/07,2013,7,Qinghai,214.5,6090.7,37,919.9
2013/07,2013,7,Shaanxi,4953.7,71547.5,706.9,10702.3
2013/07,2013,7,Shandong,16521.7,299234.2,3099.4,45902.9
2013/07,2013,7,Shanghai,48551.5,1348292,8049.1,216563.7
2013/07,2013,7,Shanxi,5051.3,35713.7,471.3,5596.1
2013/07,2013,7,Sichuan,11311.8,158786,1895,24370.7
2013/07,2013,7,Tianjin,4496.6,95164.8,838.9,17980
2013/07,2013,7,Tibet,193,7375.1,31.2,1206.9
2013/07,2013,7,Xinjiang,2742.5,40080.3,501.1,6172.2
2013/07,2013,7,Yunnan,3631.2,58047.9,596.6,8526.5
2013/07,2013,7,Zhejiang,66068.5,890176.7,11173.7,146210.8
2013/08,2013,8,Anhui,7936.9,115292.8,1142,16238.5
2013/08,2013,8,Beijing,51320.6,569623.2,6795.8,72482.6
2013/08,2013,8,Chongqing Province,6156.5,82141.6,938.2,10666.8
2013/08,2013,8,Fujian,25461.6,372340.8,3369.1,47535.7
2013/08,2013,8,Gansu,1065.4,24753.4,166.9,3199.4
2013/08,2013,8,Guangdong,122139,2033445.5,18374.9,295211
2013/08,2013,8,Guangxi,4170.3,69737.4,583.6,9584.3
2013/08,2013,8,Guizhou,1849.5,35022,239.1,4702.5
2013/08,2013,8,Hainan,1354.5,17408,223.5,2093.8
2013/08,2013,8,Hebei,12229.4,172842.2,1740.4,23736.1
2013/08,2013,8,Heilongjiang,3327.1,59907.4,403.6,7482.2
2013/08,2013,8,Henan,11210.1,160341.5,1560.7,21572.2
2013/08,2013,8,Hubei,13264.3,173881.2,1613.1,22094
2013/08,2013,8,Hunan,8943.2,117571,1227,15559.8
2013/08,2013,8,Inner Mongolia,1758.5,41229.7,225.9,5118.6
2013/08,2013,8,Jiangsu,56121.9,846969.5,8058.4,115067.1
2013/08,2013,8,Jiangxi,5410.5,75748.9,783,10742.6
2013/08,2013,8,Jilin Province,2751.8,53217.8,359.5,6855.3
